id,title,description,link,image_link,price,categories
4552,"Frakt oemballerat",,http://massagestolhemma.se/handla/begagnatfrakt/?adTribesID=ecca90fc5eab1d159821c2c62cf7933e|adtribes|4552&utm_source=Prisjakt.se&utm_campaign=Prisjakt.se&utm_medium=cpc&utm_term=4552,,2495,
4439,"Casada Nackmassage","NACKMASSAGE II - unik massage för din nacke
NACKMASSAGE II från Casada har utvecklats enbart för att behandla och motverka dessa problem. Den kombinerar knådmassage och med värme för att effektivt massera och behandla exakt på det ställe där smärtan uppstått.
Muskelspänningar har många orsaker. Särskilt smärtor och värk i nacke och axlar begränsar vår rörelseförmåga och orsakar blockeringar till hjärnan vilket ofta leder till huvudvärk och ryggsmärtor.

Levereras med 12 volt adapter så du kan ta med den på resani bilen,båten eller husvagnen.

Produktblad Nackmassage II",http://massagestolhemma.se/handla/casada-nackmassage/?adTribesID=ecca90fc5eab1d159821c2c62cf7933e|adtribes|4439&utm_source=Prisjakt.se&utm_campaign=Prisjakt.se&utm_medium=cpc&utm_term=4439,http://massagestolhemma.se/wp-content/uploads/2017/12/Neck-Massager-II_Mood_Web_05.jpg,1695,"Övriga massageprodukter"
4371,"Alpha Music Sync 3D utställningsexemplar","Massagefåtölj med 3D-massage och musiksynkronisering
OBS! Detta är ett visningsexemplar. Priset är ett hämtpris vilket innebär att fri frakt ej gäller på denna produkt. Frakt kan ordnas, ring för prisuppgift.

Här får du en helkroppsbehanlding i Zero Gravity samtidigt som massagefåtöljen känner av dina stela muskler. Massagen anpassar sig även efter din ålderskategori och du kan lyssna till din favoritmusik samtidigt som massagefåtöljen anpassar massagen efter musikens rytm. Med den extra benförlängningen ligger även långa personer bekvämt i massagefåtöljen. Självklart även 3D-massage för justering av styrkan  intensiteten i massagen. Nedan specificeras de främsta egenskaperna i denna massagestol:

 	Musiksynkronisering - Koppla din mobil (iOS eller Android) med egen musik till massagefåtöljen. Massagen anpassas efter musikens rytm och intensitet och ger ytterligare en dimension till avslappningen och snabbare återhämtning.
 	Sensorstyrning - Massagefåtöljen känner av dina stela muskler och kan anpassa massagen helt efter dina behov.
 	Åldersanpassning - Massagestolen anpassar ytterligare massagen utifrån dina ålder och egna förutsättningar såsom intensitet, styrka, hastighet och frekvens.
 	Kroppsskanning - Massagestolen skannar in kroppslängd och massagens arbetsområde. Automatiskt eller manuellt
 	3D-massage - Med 3D-massage menas att du enkelt kan justera styrkan, intensiteten i massagen med en knapptryckning till önskad nivå.




Övriga funktioner och egenskaper

 	En fantastisk ben- och fotmassage med lufttrycksmassage. Fotsulorna får en  välgörande behandling från två massagerullar. Inte för stark och inte för försiktigt. Fotmassagen kan stängas av och sättas på separat efter önskemål.
 	Vibrationsmassage i sätet  stimulerar varsamt cirkulationen som påverkar huden positivt och motverkar celluliter. Vibrationen kan kopplas på och av helt separat. Säteskudden ger behaglig komfort och lufftkuddar masserar även utsidan av låren.
 	Värmeslinga för nedre delen av ryggen som också kan användas utan massagen om du vill använda fåtöljen för värma dig eller bara koppla av.
 	STRETCH-funktionen som är integrerad i AUTO-programmen är en riktig höjdpunkt. Behaglig och effektiv behandling, särskilt för ländryggen och sätet med en underbar sträckning och tänjning som återhämtar och avlastar muskulaturen.
 	Zero Gravity-funktionen sänker ner dig automatiskt till den mest avslappnande positionen. Maximal avlastning och snabb återhämtning för ryggraden och diskarna. Är även skönt att bara ligga och koppa av utan massage påslagen.




8 helautomatiska program täcker alla behov av massage

 	HEALTH CARE - Helkroppsmassage från nacke till ländrygg samt på säte, vader och fötter med alla massagetekniker och funktioner. En ordenltig allround-massage som passar alla.
 	RECOVERY - Återhämtningsprogram huvudsakligen TAPPING (rytmisk handkantsmassage), Sträckning och tänjning av rygg samt luftkuddemassage för säte, vader och fötter.
 	RELAX - avslappningsprogram avkopplande knådmassage samt luftkuddemassage för säte, vader och fötter.
 	AIR – Ett riktigt djupavslappningsprogram enbart med massagefåtöljens luftkuddar fötter. Trycker varsamt och vaggar hela kroppen mycket behagligt och avslappnande. Fullständig avkoppling garanteras.
 	ANTI-STRESS - Massageprogram kombinerar de traditionella massageteknikerna KNÅDNING, TAPPING, ROLLMASSGE samt SHIATSU. Med behaglig STRETCH-funktion som sträcker ben och rygg och ger en effektiv avslappning och återhämtning.
 	FEET ROLLER - Rullmassage under fotsulorna. Startar med varje AUTO-program. Kan stängas av och sättas på efter önskemål under massagen.
 	DEMO - Går igenom alla massagefåtöljens funktioner och tekniker efter varandra.
 	SYNC MUSIC - Koppla din musikspelare som iPhone, iPod, Android etc. till massagefåtöljen. En mikrodator styr och anpassar massagen efter musiken du har valt. Hörlurar och kabel medföljer.
 	HRI Sensorstyrningsprogram – Håll i sensorerna på kontrollen så registrerar massagefåtöljen din kropps reaktion, bl.a. pulsfrekvensen. Läs av dina stela muskler på displayen och få en helt anpassad massage




4 automatiska program för olika delar av kroppen såsom:

 	Nacke
 	Bröstrygg
 	Ländrygg
 	Vader och fötter




Massagetekniker

 	Knådning
 	Rullmassage
 	Avslappningsmassage
 	Shiatsumassage
 	Airbagmassage
 	Vibrationsmassage
 	Rullmassage för fotsulor.




Ytterligare funktioner

 	Timerfunktion: Ställ in massagen på önskad tid - 5-30 minuter
 	Pausefunktion: Om du vill avbryta massagen och snabbt sätta igång igen
 	Manuell styrning med punktmassage
 	Elektronisk ställbart ryggstöd
 	Ben-fotmassage kan justeras elektronisk separat från ryggstödet




 Produktblad Alpha Music Sync



&nbsp;",http://massagestolhemma.se/handla/alpha-music-sync-3d-visningsex/?adTribesID=ecca90fc5eab1d159821c2c62cf7933e|adtribes|4371&utm_source=Prisjakt.se&utm_campaign=Prisjakt.se&utm_medium=cpc&utm_term=4371,http://massagestolhemma.se/wp-content/uploads/2016/08/Alpha-MA80.jpg,35920,"Massagefåtöljer - Begagnade &amp; Utställningsex."
4372,"Inada Ofisu utställningsexemplar","Massagestol Inada Ofisu
En prisvärd och äkta japansktillverkad massagestol från Family Inada som är världens största tillverkare av massagefåtöljer.

Inada Ofisu har åtta automatiska specialprogram samt manuell styrning. Du får shiatsumassage, rullmassage, stretchmassage, knådmassage, tapping, avslappningsmassage och rytmisk akupressur. Lättmanövrerad med en tydlig kontroll. Reglerbar benmassage för dig med lite längre ben.

Luta dig tillbaka och njut av en avkopplande helkroppsmassage. Inada Ofisu är en högkvalitativ och multifunktionell massagefåtölj som garanterar dig en härlig upplevelse och avkoppling.
Funktioner

 	Luftkuddemassage i sätet.
 	Vibrationsmassage i rygg, säte, vader och armar.
 	Vadmassage med luftkuddemassage.
 	Automatisk kroppsskanning
 	4-rullars massagesystem inspirerad av den mänskliga handen.
 	Anpassningsbar individuell massage genom manuella inställningar.
 	Justerbar massagehastighet och avstånd mellan massagerullarna.
 	Justerbart fotstöd för längre personer.
 	Justerbar intensitet på luftkuddemassagen.
 	Ryggstöd och fotstöd kan justeras individuellt ner till liggande ställning.
 	Insomningstimer
 	Inbyggda transporthjul för enkel förflyttning

Inada - en av världens främsta tillverkare av massagefåtöljer
Inada massagefåtöljer har sedan 1962 vunnit fler utmärkelser än något annat märke av massagefåtöljer, och det finns en anledning varför. Inada är hög kvalitet rakt igenom. Från design, funktion till tillverkning. Det är vad som förväntas av en tillverkare som i USA registerat slogan ""The worlds best massage chair"" som varumärke.

Några av utmärkelserna:
2015 Named to Inc. 5000 List of Fastest-Growing Private Companies
2014 EXC!TE Award from Technology Integrator magazine
2014 Named to Inc. 5000 List of Fastest-Growing Private Companies
2014 Featured in Rolls-Royce Owners’ Club Annual Yearbook
2010 CES (Consumer Electronics Show) Design &amp; Engineering Showcase Award
2009 CES Design &amp; Engineering Showcase Award
2009 American Society of Furniture Designers (ASFD) Pinnacle Award Finalist
2005 CES Design &amp; Engineering Showcase Award
2004 CES Design &amp; Engineering Showcase Award

 Produktblad Inada Ofisu",http://massagestolhemma.se/handla/inada-ofisu-visningsex/?adTribesID=ecca90fc5eab1d159821c2c62cf7933e|adtribes|4372&utm_source=Prisjakt.se&utm_campaign=Prisjakt.se&utm_medium=cpc&utm_term=4372,http://massagestolhemma.se/wp-content/uploads/2016/11/massagestol_inada_1.jpg,23920,"Massagefåtöljer - Begagnade &amp; Utställningsex."
4367,"Alpha Wellfit utställningsexemplar","Snygg massagestol för vardagsrummet
OBS! Detta är ett visningsexemplar. Priset är ett hämtpris vilket innebär att fri frakt ej gäller på denna produkt. Frakt kan ordnas, ring för prisuppgift.

Alpha Wellfit är en snygg relax- &amp; massagefåtölj med många möjligheter för din bekvämlighet och avkoppling. Den stilrena designen med härlig komfort gör den till en perfekt sittmöbel som kan integreras i varje hem och vardagsrum. Därtill med en fantastisk massage som behandlar hela ryggen, sätet och benen.

Med en tydlig kontroll väljer du enkelt massageteknik eller låter fåtöljen sköta det genom något av de automatiska programmen. Du får alltid den behandling du behöver för nacke, rygg, ländrygg och ben. Njut av en välgörande massage och koppla av hemma i din nya relaxfåtölj!
PROGRAM OCH FUNKTIONER
• Tre automatiska massageprogam
• Manuell styrning
• Automatisk kroppskanning
• Snurrbart stativ
• Hastighetsreglering och breddjustering
MASSAGETEKNIKER
• Knådning
• Tapping
• Kombination - Knådning/Tapping
• Rull-/stretchmassage
• Shiatsu
• Vibrationsmassage i säte och benstöd

Alpha Wellfit erbjuder alla viktiga massagetekniker man kan förvänta sig av en massagefåtölj. I sätet såväl som i benpallen finns vibrationsmassage för att stimulera blodcirkulationen i underkropp och ben.

Du kan enkelt justera in massagen punktvis på kroppen där du behöver. Ryggstödet och benstödet kan var för sig justeras in steglöst i önskat läge. Kontrollen har tydliga knappar för att enkelt kunna välja funktioner och program.

Massagefåtöljen står på ett rörligt stativ och kan snurras hela 180 grader för en exibel placering.



 Massagestol Alpha Wellfit produktblad",http://massagestolhemma.se/handla/alpha-wellfit-visningsex/?adTribesID=ecca90fc5eab1d159821c2c62cf7933e|adtribes|4367&utm_source=Prisjakt.se&utm_campaign=Prisjakt.se&utm_medium=cpc&utm_term=4367,http://massagestolhemma.se/wp-content/uploads/2016/02/Alpha-Wellfit-1A.jpg,13320,"Massagefåtöljer - Begagnade &amp; Utställningsex."
4285,"Sanyo Osaka - begagnad","Sensorstyrd massagefåtölj med behaglig ben- och fotmassage
Begagnad professionell massagefåtölj i fint skick.

OBS! Hämtpris. Fåtöljerna finns i Örebro. Frakt kan ordnas mot extra kostnad. Se Leveransvillkor. Kontakta oss på 020-27 27 20.

Praktisk. Bekväm. Superenkel. Sanyo Osaka är mycket enkel att använda. Med en enda knapptryckning är massageprogrammet igång med behaglig Shiatsumassage, från nacke till fotsulor. Massagefåtöljen känner av kroppsformen och ger djupgående massage för hela ryggpartiet samt unik fotmassage. Sanyo Osaka är den enkla vägen till ökat välbefinnande.

 	Physical Shape Detection Sensor. Automatisk justering efter kroppsform och längd
 	Styrkejustering för vader och fotsulor
 	Horisontellt liggläge för maximal avslappning
 	Tystgående motorer
 	Pedagogisk och användarvänlig kontrollpanel


Behandlar:

 	Nacke
 	Axlar
 	Bröstrygg
 	Midja
 	Vader
 	Vrister
 	Fotsulor


Massagetekniker:

 	MASSAGE – klassisk knådmassage med behagliga zick-zackrörelser
 	TAPPING – rytmisk ”handkantsmassage”
 	COMBI – kombination av massage och tapping
 	STRETCH – tänjning och vaggning av rygg och ryggrad
 	Vakuumpressmassage för vader och fotsulor

Variationer:

 	4 autoprogram för nacke, axlar, bröstrygg, ländrygg, vader och fotsulor
 	Manuell massage med många kombinationsmöjligheter
 	3 hastigheter
 	3 olika breddinställningar

Mått och dimensioner (Bredd x Djup x Höjd). Nedfälld: B 71, D 182, H 60 cm. Upprätt: B 71, D 116, H 106 cm. Vikt: 63 kg. Klädsel: Konstläder. Fär Svart Strömförsörjnin 220–230 V. Strömförbruknin 250 W.",http://massagestolhemma.se/handla/sanyo-osaka-begagnad/?adTribesID=ecca90fc5eab1d159821c2c62cf7933e|adtribes|4285&utm_source=Prisjakt.se&utm_campaign=Prisjakt.se&utm_medium=cpc&utm_term=4285,http://massagestolhemma.se/wp-content/uploads/2017/10/sanyo-osaka-massagestol-1.jpg,9900,"Massagefåtöljer - Begagnade &amp; Utställningsex."
3981,"Massagekudde Miniwell Twist","Miniwell Twist - nya generationens massagekudde
Miniwell Twist från Casada är en portabel massagekudde som passar perfekt både i hemmet, på jobbet, bilen, båten eller i husvagnen. Ergonomiskt utformad för att ge dig den bästa komforten. De fyra ergonomiska utformade massagehuvudena i Miniwell Twist ger en massage med lugnade cirkelrörelser (motsols och medsols) på önskat område av kroppen. Genom värmefunktionen värms musklerna försiktigt upp och inom några minuter infinner sig en unik känsla av välbefinnande som flödar genom kroppen. Regelbunden massage med Miniwell Twist stimulerar även nerverna, ökar ämnesomsättningen, stimulerar blodcirkulationen samt släpper spänningar.

Den ergonomiska böjda formen passar perfekt mot kroppsdelar som nacke, axlar, rygg, fötter och mage. Med sina fyra optimalt placerade massagehuvuden masserar Miniwell Twist med mjuka cirkelrörelser på önskat området av kroppen. Genom att stimulera blodcirkulationen kommer dina muskler att värmas upp och eventuella spänningar släppa försiktigt.
Hur använder jag Miniwell Twist?
När man masserar axlar, rygg och svank är det enklast om man sitter i en fåtölj eller soffa. Börja uppe vid axlarna och för att komma åt nästa parti, böj ryggen lite framåt och Miniwell Twist glider successivt nedåt tills du har masserat hela ryggen.

Nacke och övre delen av skuldrorna tar man lättast om man ligger i en säng. Då kan man även massera lår och vader.

För att ge massage åt händer och armar så lägger du Miniwell Twist i knät. Vänd på den för att komma åt ovansidan av låren. För att massera fötterna lägger man Miniwell Twist på golvet framför sig och sätter fötterna på den när du sitter i soffan eller fåtöljen.
Använd med Twist Straps
Ett perfekt tillbehör med band som du fäster i öglorna på massagekudden gör att du får friheten att använda den var som helst, stående som sittande utan att du behöver luta dig mot något. Banden gör också att du enkelt kan reglera trycket mot det område du vill massera. Levereras med utan kostnad när du köper en Miniwell Twist. Köp gärna ett extra. Klicka här!
Vad är det för massagetyp?
Miniwell Twist är utformad för att kunna ge dig Shiatsumassage. Shiatsumassage i sig löser djupt liggande spänningar, stärker ryggmuskulaturen samt aktiverar lymfdränage och blodcirkulation.
Varför välja Miniwell Twist?
Miniwell Twist, denna unika och flexibla samt ergonomiska massagekudde, löser försiktigt upp musklerna och ökar snabbt ditt välbefinnande. Unna dig wellness i vardagen. Få en massage där all stress försvinner och själen, sinnet samt kroppen kommer i balans igen.
Följande ingår:
1 st Miniwell massagekudde
1 st Twist Straps
1 st 220 V adapter
1 st 12 V adapter (till bil, båt, husvagn)
1 st bruksanvisning
Tillbehör
Kom ihåg att köpa ett extra Miniwell Twist Straps! Ett perfekt tillbehör att ha på flera ställen.

 Produktblad Miniwell Twist",http://massagestolhemma.se/handla/casada-miniwell-twist-massagekudde/?adTribesID=ecca90fc5eab1d159821c2c62cf7933e|adtribes|3981&utm_source=Prisjakt.se&utm_campaign=Prisjakt.se&utm_medium=cpc&utm_term=3981,http://massagestolhemma.se/wp-content/uploads/2017/05/casada_miniwell_twist_massagekudde.jpg,1995,"Övriga massageprodukter"
4256,"Twist Straps till Miniwell Twist - tillbehör","Twist Straps till Miniwell Twist massagekudde
Ett perfekt tillbehör till massagekudde Casada Miniwell Twist som gör att du får friheten att använda massagekudden var som helst, stående som sittande utan att du behöver luta dig mot något. Banden gör också att du enkelt kan reglera trycket mot det område du vill massera.
Levereras med utan kostnad när du köper en Casada Miniwell Twist massagekudde.
 Köp ett extra att ha med i bilen, båten eller sommarstugan!
Specifikationer

 	Vikt: 184 g
 	Längd: 490 mm
 	Bredd: 165 mm
 	Höjd: 20 mm

OBS! Fungerar endast till Miniwell Twist massagekudde.",http://massagestolhemma.se/handla/casada-miniwell-twist-strap/?adTribesID=ecca90fc5eab1d159821c2c62cf7933e|adtribes|4256&utm_source=Prisjakt.se&utm_campaign=Prisjakt.se&utm_medium=cpc&utm_term=4256,http://massagestolhemma.se/wp-content/uploads/2017/09/casada_miniwell_twist_straps_04.jpg,295,"Övriga massageprodukter"
4244,"Massagemadrass BodyShape Limited Edition","Massagemadrass BodyShape Limited Edition

Casada BodyShape Limited Edition massagemadrass ger dig en skön och välgörande massage över hela kroppen. Casada BodyShape LE har fem automatiska massageprogram med varierande massagetekniker för hela kroppen. Du har även vibrationsmassage som kan tillämpas på fem delområden på kroppen. Sist men inte minst har massagemadrassen fyra värmefält uppdelat på två strategiska zoner för att ge en djupgående värme.
Funktioner

 	VÄRMEFUNKTION - Fyra stycken värmefält som är fördelade över två zoner på madrassen. Ger en djupgående värme.
 	AUTOMATISKA PROGRAM - Fem stycken automatiska massageprogram för hela kroppen med ett stort utbud av olika massagetekniker. Kan även köras ihop med värmefunktionen.
 	VIBRATIONSMASSAGE - Tio stycken vibrationsfält fördelade på fem delområden för att täcka hela kroppen. Varje delområde (nacke, övre rygg, nedre rygg, ben och fötter) kan köras separat.
 	BILADAPTER - Den praktiska biladaptern gör din massageenhet bärbar.


Tekniska specifikationer

 	Mått: 176 x 61 cm
 	Vikt: 2,1 kg
 	Ström:
AC 100-240 V ~ 50/60 Hz, 800 mA
DC 12 V, 2500 mA
 	Märkeffekt: Max. 30 Watt
 	Massagetid: 10 minuter

Produktblad BodyShape Limited Edition",http://massagestolhemma.se/handla/casada-bodyshape-limited-edition-massagemadrass/?adTribesID=ecca90fc5eab1d159821c2c62cf7933e|adtribes|4244&utm_source=Prisjakt.se&utm_campaign=Prisjakt.se&utm_medium=cpc&utm_term=4244,http://massagestolhemma.se/wp-content/uploads/2017/09/casada_bodyshape_limited_edition_massagemadrass_11.jpg,2395,"Övriga massageprodukter"
4208,"Tappymed III massageapparat","Tappymed III - smidig och handhållen massageapparat
Tappymed III från Casada ger dig en grundlig massage för ömma, stela och spända muskler. Du når enkelt hela kroppen från nacke till fötterna. Terapeutisk massage är en av de mest effektiva former av icke-farmaceutisk smärtlindring för ömma, trötta och spända muskler. Tappymed III stimulerar blodcirkulationen och frigör spänningar i muskulaturen vilket bidrar till att du känner dig mer avslappnad än tidigare.
Växla massagemunstycke
Beroende på var på kroppen du ska inrikta massagen så medföljer 4 extra specialmunstycken i silikon för att uppnå bästa och skönaste effekt.



Funktioner och utförande:

 	Värmefunktion - Massagehuvudena i Jade-sten är en naturlig värmeledare. Tappymed IIIs värmefunktion ihop med dessa högkvalitativa jadestenar ger en djupgående och avkopplande värme.
 	Tappingmassage - Korta, knackande rörelser. Främjar blodcirkulationen i huden och mjukar upp spända muskler.
 	Hastighetsregulator: Justerbar hastighet för effektiv, kraftfull massage för att stimulera nerver och muskler
 	Väldigt enkel att använda

 Produktblad Casada Tappymed III",http://massagestolhemma.se/handla/casada-tappymed-3-massageenhet/?adTribesID=ecca90fc5eab1d159821c2c62cf7933e|adtribes|4208&utm_source=Prisjakt.se&utm_campaign=Prisjakt.se&utm_medium=cpc&utm_term=4208,http://massagestolhemma.se/wp-content/uploads/2017/09/casada_tappymed-III_7.jpg,1195,"Övriga massageprodukter"
4179,"Casada Alphasonic med Braintronics ljudterapi","Ny unik massagestol med integrerat avslappningsprogram
Effektiv återhämtning med Braintronics®
Casada Alphasonic är den perfekta kombinationen av innovation och avkoppling för kropp och själ. Multifunktionell användning samt anmärkningsvärt avancerade massagetekniker och program.

En verkligt holistisk upplevelse. Med stark terapeutisk massage och integrerad Braintronics® ljudterapi tar Alphasonic hela branschen in i framtiden. Fylld med toppmoderna funktioner såsom L-Shape för maximal massageräckvidd, Zero Gravity, justerbara axelmassage, fantastisk akupressur och revolutionerande Braintronics®-teknik. Alphasonic förbättrar både din fysiska och mentala prestation.
Braintronics® BMS - Body &amp; Mind system
Braintronics®-tekniken synkroniserar dina hjärnvågor med hjälp av ljudstimulering. I kombination med specialutvecklade massageprogram kan du snabbt och enkelt koppla av. Studier har visat att effektiviteten av avkoppling med massage i kombination med hjärnstimulering var upp till 80% bättre. Under 20 minuter får du en välbalanserad massage i kombination med Braintronics®-ljudterapi som bidrar till en djup avslappning jämförbart med upp till 4 timmars sömn.

Fördelar med massage med Braintronics®-systemet
 • Muskelavslappning
 • Snabb avkoppling och återhämtning
 • Förbättrad blodcirkulation
 • Ökad koncentration
 • Förebygger stressrelaterade sjukdomar
 • Ökad minnesprestanda

 Casada Alphasonic produktblad

 Braintronics broschyr",http://massagestolhemma.se/handla/casada-alphasonic/?adTribesID=ecca90fc5eab1d159821c2c62cf7933e|adtribes|4179&utm_source=Prisjakt.se&utm_campaign=Prisjakt.se&utm_medium=cpc&utm_term=4179,http://massagestolhemma.se/wp-content/uploads/2017/09/AlphaSonic_Product_Web_02.jpg,49900,Massagefåtöljer
4155,"Alpha Music Sync 3D","Massagefåtölj med 3D-massage och musiksynkronisering
Här får du en helkroppsbehanlding i Zero Gravity samtidigt som massagefåtöljen känner av dina stela muskler. Massagen anpassar sig även efter din ålderskategori och du kan lyssna till din favoritmusik samtidigt som massagefåtöljen anpassar massagen efter musikens rytm. Med den extra benförlängningen ligger även långa personer bekvämt i massagefåtöljen. Självklart även 3D-massage för justering av styrkan  intensiteten i massagen. Nedan specificeras de främsta egenskaperna i denna massagestol:

 	Musiksynkronisering - Koppla din mobil (iOS eller Android) med egen musik till massagefåtöljen. Massagen anpassas efter musikens rytm och intensitet och ger ytterligare en dimension till avslappningen och snabbare återhämtning.
 	Sensorstyrning - Massagefåtöljen känner av dina stela muskler och kan anpassa massagen helt efter dina behov.
 	Åldersanpassning - Massagestolen anpassar ytterligare massagen utifrån dina ålder och egna förutsättningar såsom intensitet, styrka, hastighet och frekvens.
 	Kroppsskanning - Massagestolen skannar in kroppslängd och massagens arbetsområde. Automatiskt eller manuellt
 	3D-massage - Med 3D-massage menas att du enkelt kan justera styrkan, intensiteten i massagen med en knapptryckning till önskad nivå.




Övriga funktioner och egenskaper

 	En fantastisk ben- och fotmassage med lufttrycksmassage. Fotsulorna får en  välgörande behandling från två massagerullar. Inte för stark och inte för försiktigt. Fotmassagen kan stängas av och sättas på separat efter önskemål.
 	Vibrationsmassage i sätet  stimulerar varsamt cirkulationen som påverkar huden positivt och motverkar celluliter. Vibrationen kan kopplas på och av helt separat. Säteskudden ger behaglig komfort och lufftkuddar masserar även utsidan av låren.
 	Värmeslinga för nedre delen av ryggen som också kan användas utan massagen om du vill använda fåtöljen för värma dig eller bara koppla av.
 	STRETCH-funktionen som är integrerad i AUTO-programmen är en riktig höjdpunkt. Behaglig och effektiv behandling, särskilt för ländryggen och sätet med en underbar sträckning och tänjning som återhämtar och avlastar muskulaturen.
 	Zero Gravity-funktionen sänker ner dig automatiskt till den mest avslappnande positionen. Maximal avlastning och snabb återhämtning för ryggraden och diskarna. Är även skönt att bara ligga och koppa av utan massage påslagen.




8 helautomatiska program täcker alla behov av massage

 	HEALTH CARE - Helkroppsmassage från nacke till ländrygg samt på säte, vader och fötter med alla massagetekniker och funktioner. En ordenltig allround-massage som passar alla.
 	RECOVERY - Återhämtningsprogram huvudsakligen TAPPING (rytmisk handkantsmassage), Sträckning och tänjning av rygg samt luftkuddemassage för säte, vader och fötter.
 	RELAX - avslappningsprogram avkopplande knådmassage samt luftkuddemassage för säte, vader och fötter.
 	AIR – Ett riktigt djupavslappningsprogram enbart med massagefåtöljens luftkuddar fötter. Trycker varsamt och vaggar hela kroppen mycket behagligt och avslappnande. Fullständig avkoppling garanteras.
 	ANTI-STRESS - Massageprogram kombinerar de traditionella massageteknikerna KNÅDNING, TAPPING, ROLLMASSGE samt SHIATSU. Med behaglig STRETCH-funktion som sträcker ben och rygg och ger en effektiv avslappning och återhämtning.
 	FEET ROLLER - Rullmassage under fotsulorna. Startar med varje AUTO-program. Kan stängas av och sättas på efter önskemål under massagen.
 	DEMO - Går igenom alla massagefåtöljens funktioner och tekniker efter varandra.
 	SYNC MUSIC - Koppla din musikspelare som iPhone, iPod, Android etc. till massagefåtöljen. En mikrodator styr och anpassar massagen efter musiken du har valt. Hörlurar och kabel medföljer.
 	HRI Sensorstyrningsprogram – Håll i sensorerna på kontrollen så registrerar massagefåtöljen din kropps reaktion, bl.a. pulsfrekvensen. Läs av dina stela muskler på displayen och få en helt anpassad massage




4 automatiska program för olika delar av kroppen såsom:

 	Nacke
 	Bröstrygg
 	Ländrygg
 	Vader och fötter




Massagetekniker

 	Knådning
 	Rullmassage
 	Avslappningsmassage
 	Shiatsumassage
 	Airbagmassage
 	Vibrationsmassage
 	Rullmassage för fotsulor.




Ytterligare funktioner

 	Timerfunktion: Ställ in massagen på önskad tid - 5-30 minuter
 	Pausefunktion: Om du vill avbryta massagen och snabbt sätta igång igen
 	Manuell styrning med punktmassage
 	Elektronisk ställbart ryggstöd
 	Ben-fotmassage kan justeras elektronisk separat från ryggstödet




